Form A Key:	100.0	ADAADADDDACBCABBCBBCBABBBBDBBBAADDADABBBCCAABDADDBCABCCBBACADDABCBDABBDCDACBCCACDBAADDACBDBCBDCBDCDAABADADCABBABBACBCCBDBDCDDABAAACCDDADAABABBBCACCBBDDBACCDCCBBCDCABAAACDBBACADDADABAADDACAACABACCDDDBB
Form B Key:	100.0	CCCDCCAABBBDBBADACCBABDADCCDAACBCBBBDCDADACDACBCCDDDCAAACCABCACCDCCCDDCBBDBABDCAAACDCADDAAADCABCCBBCBACCDAADDDDDDBBCDACBCBAACDCBCCBDBBCBBBADDAADBBACAABCDADABAACDCDBDCCDACAACDBBABBDACCCADDDBDDADABACBAD
A	EILEEN RAMON:	67.0	ACAADDCDBACBBAAACCBCBBAABADBBBAADDCDDCBBCCBABDADDCBABCCBDCCAADCCBBDABBDCAADBCCAABBADDDACBDACBDCBBCDACCADADDABBDBBACACCBBDABADABBADDCDDCDAABCCCBCACCCBDDBACCCDADBCDAABBCACCABACABDBBABADDDACCACABBACDDDBC
B	BRIDGETTE NELSON:	88.0	CCCDCCAABBBDBBADAABBABDADBCDAACCDBBBBCDADBADACBCCDDDCAADCCABCBCCDCCDBDCBBDBABDCAAACBCABDAAADCABDCBBDBACCDAADDDDDDBBCDACBCBAADDCBCCBDBBCBBBADDAADBBACAAACDADABAACBCDBDCCDACAACABBABBDACCCADDDDDCAAABACDAD
A	IRVIN HUDSON:	56.5	DDCABADDDBBBDAADCCABBBBBDCBBDDAADDDDDAAAACDCBADBCBBACCCABACABDABABDABADCBDDBDDAAABDADDACBDBABCCDDBBAACADACCAADDCAADBACBBCBABBABAAABCCBADAABADBCACCCBBDDAACCDAABBADDADDAABBCBABCDDADCBACADAABACABACCDDDBB
B	JAIME MORENO:	83.5	CCCDCCCBBABDBAADAACBDCAADCCDAACBCBBBDCDADCCDDCBCADDDCABCCCABCBCCDCCCDDCBBDBABDAAAACDCBDDAACBCABACBDCBCCCAAADDDDDBBBADACBCBAACDCBCABDDBABBBADDAADBBACAACBDADABAACDCABDCCDACCACCBBABBDACCCADDDBDCADABACBAD
A	VITO LAYMAN:	86.0	ACAADACDDACBCABBCBBCBABBBBDBBDABDDADABBBCCACBDADBBCABCCBBACADDABCBDADBDCDACBCCACDDAADDCCDDDBBDCBDCDAABADADCAABBBBBCBCCBDBDCDDADAAADCBCADAABABBBBDCDBBDDBACCDCCBBCDCDBABACDBBACADDADABACBDACAACABADCBDDBB
B	TRENTON HOY:	76.0	CBCDCCAABBBDBBADCDCBABBDBCCDAACBCBBBDCDADADDABACBDDDCABACCABDACADCDDDDABDDBABBCAAACDCADDAABDBACCDBCCBACCDAADDDDDDBCCAACBDBAABACBCCBCBBCBBBADBAABBBABACBCAACABDACDCDBDCDDACDACDBDABBAADDCBDDDBDCACBAACBAA
A	RUFUS KISH:	95.0	ADAADADDDAABCABBCBBCBABBBBDBBBAADDADABBBCCAABDADDBCACBCBBACADDABCBDACADCDACBCCACDBAADDACBDBCBDCBDCDAABADADCABBABBACBCCBDBACDDABAAACCDDAAAABABBBCACCBBDDBACCDCCBBADCABAAACCBBACADDADACAADDACAACABACCDDDBB
B	MANUELA FINE:	89.5	CCCDCCDDBBBDBBADACCBABDADCCDAACBCBBBBCDADACBACBCADDDCAAACCABCACCDCCCADCBBDBABBCAACCDCCDDCAADCABCCBBCBACCDAADDDDDDBBDDBCBCAAACDCCCABDBBCADBADDAADBCACADBCBADABAACDCDBDCCDACAACCBBABBDACCCADDDBDDADABACBAD
A	NITA MULKEY:	82.0	BDABDADDDACDCBBBCBBBBABBBBDBBBAADCADABBAACDABDCDDBCABABBBACACDACCBDADBDCDAAACCABDCAADDADBDBCBDCBDCDADBADABCACBCBBACBCCBBBDCDDABAAACCBDADAABADBBCACCBBADBCCCDCCCDCDCABAAACDBBABACDADABADDDADAACABACCCDDBB
B	ALISHA GULLEY:	59.0	ACBDBAACBADBBBADCCDAABBAACBBACDDCABBDDDADDDDBCBCCAAACACDDCADBABCDCDCDCCABDDAADCCDACDCBDDAAABDABCCBCCBBCCCADBDDDDDBBCCACCABBACBCDBCADACABBAADABADBBBCBDBCDADABACDBCABDDDDACABCDBBDBDDACCDADBDBBDDDCABBBAC
